Date,SPY,QQQ,TLT,GLD,HYG,IWM
2005-01-03,81.84712982177734,33.73878479003906,45.234275817871094,43.02000045776367,,48.436920166015625
2005-01-04,80.84700012207031,33.12382125854492,44.7602424621582,42.7400016784668,,47.39860916137695
2005-01-05,80.28909301757812,32.918819427490234,44.99983215332031,42.66999816894531,,46.45123291015625
2005-01-06,80.69730377197266,32.75651931762695,45.03043746948242,42.150001525878906,,46.69752502441406
2005-01-07,80.58165740966797,32.9273567199707,45.13234329223633,41.84000015258789,,46.17839431762695
2005-01-10,80.96266174316406,32.9102668762207,45.20371627807617,41.95000076293945,,46.64827346801758
2005-01-11,80.40475463867188,32.67965316772461,45.468772888183594,42.209999084472656,,46.079864501953125
2005-01-12,80.67012023925781,32.95296859741211,45.52996826171875,42.599998474121094,,46.26934051513672
2005-01-13,80.02375030517578,32.51736068725586,45.96830749511719,42.599998474121094,,46.129119873046875
2005-01-14,80.44557189941406,32.82484817504883,45.96323013305664,42.31999969482422,,46.56871032714844
2005-01-18,81.28245544433594,33.07256317138672,46.11613464355469,42.31999969482422,,47.121978759765625
2005-01-19,80.43196868896484,32.525917053222656,46.248661041259766,42.2599983215332,,46.44744110107422
2005-01-20,79.94213104248047,31.902374267578125,46.34044647216797,42.25,,46.170814514160156
2005-01-21,79.45226287841797,31.646133422851562,46.391387939453125,42.7400016784668,,46.064693450927734
2005-01-24,79.29576110839844,31.201984405517578,46.59020233154297,42.77000045776367,,45.712284088134766
2005-01-25,79.52030944824219,31.355728149414062,46.151851654052734,42.2400016784668,,45.829769134521484
2005-01-26,79.7584228515625,31.73154640197754,46.23847961425781,42.689998626708984,,46.43986511230469
2005-01-27,79.89447784423828,31.688831329345703,46.151851654052734,42.619998931884766,,46.57250213623047
2005-01-28,79.89447784423828,31.53508758544922,46.61570358276367,42.689998626708984,,46.53461456298828
2005-01-31,80.39116668701172,31.945096969604492,46.748199462890625,42.220001220703125,,47.08027648925781
2005-02-01,80.90145874023438,32.047584533691406,46.67400360107422,42.099998474121094,,47.345550537109375
2005-02-02,81.14636993408203,32.09883117675781,46.78150939941406,42.15999984741211,,47.70553970336914
2005-02-03,80.93545532226562,31.73154640197754,46.75588607788086,41.68000030517578,,47.44406509399414
2005-02-04,81.79947662353516,32.24403762817383,47.40571212768555,41.470001220703125,,48.042789459228516
2005-02-07,81.69062805175781,32.17570114135742,47.75876998901367,41.27000045776367,,48.03144836425781
2005-02-08,81.78590393066406,32.2354850769043,48.02994155883789,41.2599983215332,,48.14890670776367
2005-02-09,81.1735610961914,31.69738006591797,48.157859802246094,41.310001373291016,,47.121978759765625
2005-02-10,81.46609497070312,31.73154640197754,47.50803756713867,41.75,,47.20533752441406
2005-02-11,82.16692352294922,32.20133972167969,47.47734069824219,42.08000183105469,,47.97460174560547
2005-02-14,82.10563659667969,32.346527099609375,47.62572479248047,42.54999923706055,,47.93292236328125
2005-02-15,82.4118423461914,32.560054779052734,47.385257720947266,42.58000183105469,,47.97460174560547
2005-02-16,82.46623229980469,32.440494537353516,47.20619583129883,42.52000045776367,,48.11860275268555
2005-02-17,81.79947662353516,32.00489807128906,46.909385681152344,42.72999954223633,,47.694183349609375
2005-02-18,81.90835571289062,31.902374267578125,46.489837646484375,42.75,,47.57669448852539
2005-02-22,80.69052124023438,31.509479522705078,46.28518295288086,43.56999969482422,,46.64827346801758
2005-02-23,81.26885223388672,31.552167892456055,46.43862533569336,43.41999816894531,,46.92490768432617
2005-02-24,81.80631256103516,31.953636169433594,46.33633041381836,43.33000183105469,,47.36448669433594
2005-02-25,82.61589050292969,32.13297653198242,46.56145095825195,43.5,,48.152679443359375
2005-02-28,82.07164001464844,31.791337966918945,46.06004333496094,43.529998779296875,,47.85332489013672
2005-03-01,82.47986602783203,32.14152908325195,46.04570388793945,43.220001220703125,,48.22091293334961
2005-03-02,82.43903350830078,32.124454498291016,45.98408508300781,43.25,,48.133750915527344
2005-03-03,82.47306060791016,31.859678268432617,45.95844268798828,42.970001220703125,,48.17543411254883
2005-03-04,83.5003890991211,32.047584533691406,46.456295013427734,43.380001068115234,,48.76658248901367
2005-03-07,83.54122924804688,32.50883865356445,46.641048431396484,43.470001220703125,,48.64532470703125
2005-03-08,83.22827911376953,32.184226989746094,46.19960403442383,44.029998779296875,,48.18301010131836
2005-03-09,82.30298614501953,32.09029006958008,45.445133209228516,44.02000045776367,,47.6373176574707
2005-03-10,82.48665618896484,32.047584533691406,45.722293853759766,44.20000076293945,,47.43269729614258
2005-03-11,81.90835571289062,31.748640060424805,45.388694763183594,44.43000030517578,,47.39860916137695
2005-03-14,82.41864013671875,31.89383888244629,45.66071319580078,44.029998779296875,,47.75479507446289
2005-03-15,81.7383041381836,31.63758659362793,45.37326431274414,44.060001373291016,,47.43269729614258
2005-03-16,81.04427337646484,31.27886199951172,45.65044021606445,44.310001373291016,,47.16744613647461
2005-03-17,81.20756530761719,31.355728149414062,45.79929733276367,43.81999969482422,,47.16744613647461
2005-03-18,80.96646881103516,31.184907913208008,45.511863708496094,43.88999938964844,,46.913551330566406
2005-03-21,80.66593170166016,31.24469566345215,45.38355255126953,43.09000015258789,,46.97038269042969
2005-03-22,79.84634399414062,30.860315322875977,44.99858093261719,42.650001525878906,,46.64827346801758
2005-03-23,79.91464233398438,30.97136116027832,45.21416091918945,42.41999816894531,,46.30723190307617
2005-03-24,80.01022338867188,30.979915618896484,45.306541442871094,42.38999938964844,,46.4777717590332
2005-03-28,80.12632751464844,31.03968620300293,45.029396057128906,42.540000915527344,,46.49679183959961
